"

                                 1. FC Barcelona
                            
                                 (qualified)
                        ","
                            23
                        ","
                            9
                        ","
                            2552
                        ","
                            2314
                        ","
                            238
                        "
"

                                 2. CSKA Moscow
                            
                                 (qualified)
                        ","
                            21
                        ","
                            10
                        ","
                            2539
                        ","
                            2434
                        ","
                            105
                        "
"

                                 3. Anadolu Efes Istanbul
                            
                                 (qualified)
                        ","
                            21
                        ","
                            11
                        ","
                            2671
                        ","
                            2414
                        ","
                            257
                        "
"

                                 4. AX Armani Exchange Milan
                            
                                 (qualified)
                        ","
                            20
                        ","
                            12
                        ","
                            2552
                        ","
                            2454
                        ","
                            98
                        "
"

                                 5. Fenerbahce Beko Istanbul
                            
                                 (qualified)
                        ","
                            20
                        ","
                            12
                        ","
                            2521
                        ","
                            2504
                        ","
                            17
                        "
"

                                 6. FC Bayern Munich
                            
","
                            19
                        ","
                            13
                        ","
                            2480
                        ","
                            2457
                        ","
                            23
                        "
"

                                 7. TD Systems Baskonia Vitoria-Gasteiz
                            
","
                            18
                        ","
                            14
                        ","
                            2569
                        ","
                            2441
                        ","
                            128
                        "
"

                                 8. Real Madrid
                            
","
                            18
                        ","
                            14
                        ","
                            2502
                        ","
                            2463
                        ","
                            39
                        "
"

                                 9. Valencia Basket
                            
","
                            17
                        ","
                            14
                        ","
                            2507
                        ","
                            2488
                        ","
                            19
                        "
"

                                 10. Zenit St Petersburg
                            
","
                            17
                        ","
                            14
                        ","
                            2385
                        ","
                            2342
                        ","
                            43
                        "
"

                                 11. Zalgiris Kaunas
                            
","
                            16
                        ","
                            16
                        ","
                            2467
                        ","
                            2496
                        ","
                            -29
                        "
"

                                 12. Olympiacos Piraeus
                            
","
                            14
                        ","
                            17
                        ","
                            2395
                        ","
                            2448
                        ","
                            -53
                        "
"

                                 13. Maccabi Playtika Tel Aviv
                            
","
                            13
                        ","
                            17
                        ","
                            2316
                        ","
                            2344
                        ","
                            -28
                        "
"

                                 14. LDLC ASVEL Villeurbanne
                            
","
                            12
                        ","
                            18
                        ","
                            2318
                        ","
                            2397
                        ","
                            -79
                        "
"

                                 15. ALBA Berlin
                            
","
                            11
                        ","
                            21
                        ","
                            2485
                        ","
                            2642
                        ","
                            -157
                        "
"

                                 16. Panathinaikos OPAP Athens
                            
","
                            10
                        ","
                            20
                        ","
                            2339
                        ","
                            2414
                        ","
                            -75
                        "
"

                                 17. Crvena Zvezda mts Belgrade
                            
","
                            9
                        ","
                            23
                        ","
                            2365
                        ","
                            2539
                        ","
                            -174
                        "
"

                                 18. Khimki Moscow Region
                            
","
                            3
                        ","
                            27
                        ","
                            2332
                        ","
                            2704
                        ","
                            -372
                        "
